id|name|ivector_connect_id|iata_code|location_id|latitude|longitude
361|(CCJ) Calicut International, Kozhikode, India|257|CCJ|8f4c1b35-16a3-49f1-b746-91dfd4d03c23|11.136000|75.955000
1202|(KLZ) Kleinzee, South Africa|721|KLZ|cbcc7419-1f9e-4ae8-aec9-dc8a03473ce2|-29.688000|17.094000
9|(YYE) Fort Nelson, BC, Canada|1784|YYE|d510f4be-ef3d-4ec0-bd0a-a95d68dd9e2b|58.836000|-122.597000
3257|Akron, OH, United States of America (CAK-Akron-Canton)|2978|CAK||0.000000|0.000000
3258|Stillwater, OK, United States of America (SWO-Stillwater Regional)|2979|SWO||0.000000|0.000000
3259|Las Palmas, Spain (LPA-Gran Canaria)|2980|LPA||0.000000|0.000000
3260|Jacksonville, NC, United States of America (OAJ-Albert J. Ellis)|2981|OAJ||0.000000|0.000000
3261|Nanded, India (NDC)|2982|NDC||0.000000|0.000000
3262|Lublin, Poland (LUZ)|2983|LUZ||0.000000|0.000000
3263|Cayenne, French Guiana (CAY-Rochambeau)|2984|CAY||0.000000|0.000000
3264|Jamestown, St. Helena (HLE)|2985|HLE||0.000000|0.000000
3265|Dubai, United Arab Emirates (DWC-Al Maktoum Intl.)|2986|DWC||0.000000|0.000000
3266|Rutland, VT, United States of America (RUT-Rutland Southern Vermont Regional)|2988|RUT||0.000000|0.000000
3267|Punta Gorda, FL, United States of America (PGD-Charlotte County)|2989|PGD||0.000000|0.000000
3268|Fargo, ND, United States of America (FAR-Hector Intl.)|2990|FAR||0.000000|0.000000
2442|(RMQ) Taichung, Taiwan|1495|RMQ|90d46891-7678-4da9-a7dd-4e24098a8a87|24.186000|120.654000
369|(CFU) Ioannis Kapodistrias, Corfu, Greece|276|CFU|f8cdf1c8-045d-43ef-ad42-8d27b9b0fb46|39.602000|19.912000
2894|(MDI) Makurdi, Nigeria|888|MDI|bc2ab8a8-f077-4edc-ab00-f49af5e15e26|7.704000|8.614000
1785|(RBM) Straubing - Wallmuhle, Straubing, Germany|2678|RBM|87c84b3d-8bc0-4b37-8d48-897835db7e8c|34.850000|-92.300000
2383|(SFA) Thyna, Sfax, Tunisia|1288|SFA|1fff0db4-0b86-46c7-b4bc-c523fa899ee1|34.718000|10.691000
1286|(ULA) Capitan Jose Daniel Vazquez, San Julian, Argentina|1510|ULA|9322a700-2052-4584-9133-b772cb7dfcdb|-49.307000|-67.802000
2044|(VFA) Victoria Falls, Zimbabwe|2262|VFA|d4adb9fa-3c65-459a-bd80-82a9b2dedbbe|-18.096000|25.839000
2721|(ENE) Ende, Indonesia|425|ENE|e8d59809-8738-469c-bec9-9b62403c452f|-8.849000|121.662000
1519|(PAZ) El Tajin National, Poza Rica, Veracruz, Mexico|1085|PAZ|347287e0-1b8b-4f80-be4a-6c08d4e925bc|20.603000|-97.461000
849|(MYJ) Matsuyama, Japan|970|MYJ|f6d9dab4-cb6c-4b5e-b8f1-fb0da0b818ab|33.827000|132.700000
2211|(ADM) Ardmore Municipal, Ardmore, OK, United States|2304|ADM|311533ec-3dad-40e9-bc04-a2ab505ca2a2|34.303000|-97.019000
2224|(SLC) Salt Lake City International, Salt Lake City, UT, United States|2713|SLC|41cb75c0-e7a1-45a5-8fe5-7fb672b0aaf9|40.788000|-111.978000
469|(BRU) Brussels Airport, Brussels, Belgium|215|BRU|243da6e3-5729-4ce3-a541-b69fa2dd5c00|50.902000|4.499000
514|(CNS) Cairns International, Cairns, QLD, Australia|314|CNS|39845157-b2a1-4f81-a515-92d6d1c8f0d6|-16.886000|145.755000
2237|(BSB) Brasilia Intl. - President Juscelino Kubitschek, Brasilia, Brazil|218|BSB|d460867d-9615-42cf-9726-c9559fdd4bbc|-15.862000|-47.913000
302|(ICT) Mid-Continent, Wichita, KS, United States|2507|ICT|53efe55b-2d48-4080-90d5-eee9ba571cb0|37.650000|-97.433000
1611|(MKK) Molokai, Hoolehua, HI, United States|2574|MKK|17585800-26f8-4354-a4d4-7a7a88a5d3ac|21.153000|-157.096000
1052|(JAV) Ilulissat, Jakobshavn, Greenland|1977|JAV|bca0db06-2e29-41f7-a6b8-d4c481551372|69.233000|-51.067000
879|(VHM) Vilhelmina, Sweden|1549|VHM|9b6162b6-2afb-4ece-8dae-bcf7283ab695|64.579000|16.833000
622|(EMN) Nema, Mauritania|1918|EMN|d490af9a-f748-4764-b701-5da85d5c9cad|16.622000|-7.314000
1834|(MKL) McKellar-Sipes Regional, Jackson, TN, United States|2575|MKL|37a6306e-1995-4d3e-8555-29cf5aee0156|35.600000|-88.916000
1145|(KCH) Kuching International, Kuching, Malaysia|690|KCH|1073e688-685d-49e9-9465-160967b566fa|1.485000|110.346000
1104|(KEF) Keflavik International, Reykjavik, Iceland|1989|KEF|b5eef731-2046-4c7d-bdc0-acb465e8a1df|63.985000|-22.606000
2724|(YZT) Port Hardy, BC, Canada|1805|YZT|d510f4be-ef3d-4ec0-bd0a-a95d68dd9e2b|50.681000|-127.367000
429|(CYS) Cheyenne Regional, Cheyenne, WY, United States|2392|CYS|6d111db1-43ea-4163-b44e-760966cde028|41.156000|-104.812000
1715|(NLK) Norfolk Island, Norfolk Island|999|NLK|925235df-d8bc-4a73-9b8a-9a4e15e543a8|-29.041000|167.939000
2292|(OCC) Francisco de Orellana, Coca, Ecuador|1035|OCC|2f1e8cab-e5e0-493a-8e51-57791db69f53|-0.463000|-76.986000
1498|(YAP) Yap International, Yap, Federated States of Micronesia|2287|YAP|2a1bfa4f-c6e5-46e3-824d-262b98098ba8|9.499000|138.082000
192|(BDU) Bardufoss, Norway|154|BDU|204e736f-efc6-4e61-97c8-1e2bf5626562|69.056000|18.540000
3269|Sal Island, Cape Verde (SID-Amilcar Cabral Intl.)|2991|SID||0.000000|0.000000
3270|Champaign, IL, United States of America (CMI-University Of Illinois Urbana-Champaign Williard)|2993|CMI||0.000000|0.000000
323|(BVA) Beauvais, Paris, France|228|BVA|4e9cea11-b383-442b-8363-38b95162a531|49.454000|2.113000
557|(CUC) Camilo Daza International, Cucuta, Colombia|341|CUC|10b09b46-3601-46ad-8fb7-a602bad10fd5|7.928000|-72.511000
2468|(SSY) M'banza Congo, Angola|2200|SSY|3a759e11-4d0a-451d-b6d5-6f3a5c2d5ec0|-6.270000|14.247000
778|(GLS) Scholes International, Galveston, TX, United States|2461|GLS|938285ab-d822-4010-8ca5-d5a379c9bfc5|29.265000|-94.860000
1374|(HOF) Al Hasa, Hofuf, Saudi Arabia|793|HOF|c02c0ce7-33ca-439d-a92e-7069a14cbec9|25.284000|49.486000
2412|(HUY) Humberside, Hull, England, UK|588|HUY|6a582305-0df7-4cc8-b8b6-95463e8822de|53.574000|-0.351000
1896|(KTA) Karratha, WA, Australia|749|KTA|f4d91f1e-75dc-4ed9-a5e6-f1cc3e0d6a7f|-20.712000|116.773000
1205|(KUA) Sultan Haji Ahmad Shah, Kuantan, Malaysia|760|KUA|1073e688-685d-49e9-9465-160967b566fa|3.775000|103.209000
1414|(LRM) La Romana International, La Romana, Dominican Republic|840|LRM|e97ffff5-c4c3-417b-8c2f-7f0735fae507|18.452000|-68.912000
1630|(MIU) Maiduguri, Nigeria|913|MIU|bc2ab8a8-f077-4edc-ab00-f49af5e15e26|11.855000|13.081000
3271|El Calafate, Argentina (FTE-Comandante Armando Tola Intl.)|2994|FTE||0.000000|0.000000
3272|Sihanoukville, Cambodia (KOS)|2995|KOS||0.000000|0.000000
3273|Flagstaff, AZ, United States of America (FLG-Flagstaff Pulliam Field)|2996|FLG||0.000000|0.000000
1761|(OGX) Ain el Beida, Ouargla, Algeria|2112|OGX|30d2521f-c8c9-4df5-a733-490b550193f4|31.917000|5.413000
1839|(OUL) Oulu, Finland|1072|OUL|2b563844-acda-4550-92e8-fa6197ee8a0b|64.930000|25.354000
1020|(OUR) Batouri, Cameroon|2120|OUR|4f2cf696-b74e-4bae-9e17-136aef23d621|4.473000|14.364000
1904|(PBD) Porbandar, India|1087|PBD|8f4c1b35-16a3-49f1-b746-91dfd4d03c23|21.649000|69.656000
1790|(ORW) Ormara, Pakistan|2118|ORW|5e4e239c-f27c-4584-ad58-9f5ce7eebb16|25.273000|64.588000
1885|(PNZ) Senador Nilo Coelho International, Petrolina, Brazil|1146|PNZ|d460867d-9615-42cf-9726-c9559fdd4bbc|-9.364000|-40.564000
605|(RKT) Ras al Khaimah International, Ras al Khaimah, United Arab Emirates|1237|RKT|401db7d1-ccb3-4c5d-a657-54ffa1292e0a|25.613000|55.939000
2297|(SLL) Salalah, Oman|1324|SLL|90a422b9-0f86-4562-b32e-d807d6ce46a3|17.039000|54.091000
659|(SWG) Satwag, Papua New Guinea|1380|SWG|e8d59809-8738-469c-bec9-9b62403c452f|-8.489000|117.412000
2529|(TST) Trang, Thailand|1476|TST|66cf6cde-08de-4865-87fa-a9b3f59f337b|7.509000|99.616000
3014|(TRG) Tauranga, New Zealand|1461|TRG|ddd52726-f68f-460d-baf0-75d68b183581|-37.672000|176.196000
85|(WEL) Welkom, South Africa|1587|WEL|cbcc7419-1f9e-4ae8-aec9-dc8a03473ce2|-27.998000|26.669000
2342|(YBK) Baker Lake, NU, Canada|1627|YBK|d1333985-6d10-43b0-b5ec-ae876ef5dd14|64.299000|-96.078000
3274|Jackson Hole, WY, United States of America (JAC)|2997|JAC||0.000000|0.000000
3275|Brainerd, MN, United States of America (BRD-Brainerd Lakes Regional)|2998|BRD||0.000000|0.000000
3276|Nevsehir, Turkey (NAV-Cappadocia)|2999|NAV||0.000000|0.000000
669|(ENC) Essey, Nancy, France|424|ENC|4e9cea11-b383-442b-8363-38b95162a531|48.692000|6.230000
1192|(KIV) Chisinau International, Chisinau, Moldova|1998|KIV|06f092ed-9c03-4dc2-b2ec-7d8e8f71fa50|46.928000|28.931000
300|(LCD) Louis Trichardt, South Africa|785|LCD|cbcc7419-1f9e-4ae8-aec9-dc8a03473ce2|-23.160000|29.696000
1193|(YMS) Moises Benzaquen Rengifo, Yurimaguas, Peru|1693|YMS|ec0d3714-51e4-4654-ae44-3b898a299a4b|-5.894000|-76.118000
1903|(DAY) Dayton International, Dayton, OH, United States|2394|DAY|44ca5eec-d993-426d-ae4d-532038614983|39.902000|-84.219000
478|(YDF) Deer Lake Regional, Deer Lake, NL, Canada|1642|YDF|d1333985-6d10-43b0-b5ec-ae876ef5dd14|49.211000|-57.391000
1061|(PDS) Piedras Negras International, Piedras Negras, Coahuila, Mexico|1094|PDS|347287e0-1b8b-4f80-be4a-6c08d4e925bc|28.627000|-100.535000
2081|(YVM) Qikiqtarjuaq, Broughton Island, NU, Canada|1756|YVM||67.546000|-64.031000
2326|(CAE) Columbia Metropolitan, Columbia, SC, United States|2362|CAE|6e74b589-a327-453a-a9be-89c5ef41523b|33.939000|-81.119000
2047|(CUZ) Alejandro Velasco Astete International, Cusco, Peru|347|CUZ|ec0d3714-51e4-4654-ae44-3b898a299a4b|-13.536000|-71.939000
1136|(KBP) Borispol International, Kiev, Ukraine|687|KBP|576c23c3-4580-490c-9f63-4ae61de172e2|50.345000|30.895000
127|(AUC) Santiago Perez, Arauca, Colombia|117|AUC|10b09b46-3601-46ad-8fb7-a602bad10fd5|7.069000|-70.737000
2668|(HAJ) Hannover Airport, Hannover, Germany|541|HAJ|0d4b844f-7a74-4bd8-a19f-f15d634d6935|52.461000|9.685000
883|(HAM) Hamburg Airport, Hamburg, Germany|542|HAM|0d4b844f-7a74-4bd8-a19f-f15d634d6935|53.630000|9.988000
3067|(PPT) Tahiti Faaa International, Papeete, French Polynesia|2792|PPT|792b413f-59cd-491c-ac36-eca26ed69023|-17.558610|-149.610786
928|(PRY) Wonderboom, Pretoria, South Africa|1162|PRY|cbcc7419-1f9e-4ae8-aec9-dc8a03473ce2|-25.654000|28.224000
3155|(HAH) Prince Said Ibrahim International, Moroni, Comoros|2877|HAH|dd2e9efb-ea81-4f64-b910-0928aff457b7|-11.535923|43.274202
77|(APL) Nampula, Mozambique|1832|APL|497c1274-6163-4642-87bd-845c54125d69|-15.106000|39.282000
1771|(PBI) Palm Beach International, West Palm Beach, FL, United States|2653|PBI|bbfb597a-c1b3-4b12-b0e4-05b804f5f12a|26.683000|-80.096000
2601|(VCP) Viracopos - Campinas International, Campinas, Brazil|1541|VCP|d460867d-9615-42cf-9726-c9559fdd4bbc|-23.008000|-47.134000
2351|(NST) Nakhon Si Thammarat, Thailand|1016|NST|66cf6cde-08de-4865-87fa-a9b3f59f337b|8.471000|99.956000
773|(ZTH) Zakynthos International, Zakynthos, Greece|94|ZTH|f8cdf1c8-045d-43ef-ad42-8d27b9b0fb46|37.750000|20.882000
2999|(AGS) Augusta Regional, Augusta, GA, United States|2308|AGS|ec142447-80ea-4a2c-bfdc-882a2119f5de|33.370000|-81.964000
51|(ANF) Cerro Moreno International, Antofagasta, Chile|60|ANF|63fb8471-db21-45be-ad65-64c097ddbcec|-23.444000|-70.445000
691|(SBK) Saint-Brieuc - Armor, Saint-Brieuc, France|1270|SBK|4e9cea11-b383-442b-8363-38b95162a531|48.538000|-2.854000
3277|Corvera, Spain (RMU-Region de Murcia Intl.)|3000|RMU||0.000000|0.000000
3278|San Luis Obispo, CA, United States of America (SBP-San Luis Obispo County Regional)|3001|SBP||0.000000|0.000000
3279|Bloomington, IL, United States of America (BMI-Central Illinois Regional)|3002|BMI||0.000000|0.000000
3142|(PTP) Pointe-a-Pitre International, Pointe-A-Pitre, Guadeloupe|2854|PTP|42643f31-8929-4e54-a821-f1af57f82f6b|16.267620|-61.527257
645|(EGC) Bergerac - Perigord - Dordogne, Bergerac, France|411|EGC|4e9cea11-b383-442b-8363-38b95162a531|44.825000|0.519000
511|(CMG) Corumba International, Corumba, Brazil|306|CMG|d460867d-9615-42cf-9726-c9559fdd4bbc|-19.012000|-57.673000
2155|(CEK) Balandino, Chelyabinsk, Russia|267|CEK|576c23c3-4580-490c-9f63-4ae61de172e2|55.303000|61.507000
249|(BIR) Biratnagar, Nepal|180|BIR|77ba2458-6087-488e-8d50-e8fe904ca46b|26.483000|87.264000
1172|(YZE) Manitoulin, Gore Bay, ON, Canada|1799|YZE|5a497490-b16e-46d6-8100-470730eadeaf|45.885000|-82.568000
