id|name|longitude|latitude|country|postcode|location_id|see_venue_id
8701|Kilburn Centre|-0.197544|51.541296|United Kingdom|NW6 7HY|27d9b687-31e6-4c4f-892a-508c51c365a1|22433
6172|Taunton Racecourse|-3.082674|50.993678|United Kingdom|TA3 7BL|27d9b687-31e6-4c4f-892a-508c51c365a1|7297
8538|Maryhill Community Central Halls|-4.270982|55.876927|United Kingdom|G20 7YE|27d9b687-31e6-4c4f-892a-508c51c365a1|21323
8289|Callum's Cavern|-4.423144|55.847528|United Kingdom|PA3 2AP|27d9b687-31e6-4c4f-892a-508c51c365a1|16013
8155|Hash Bar and Kitchen|-1.558450|54.523590|United Kingdom|DL3 8HN|27d9b687-31e6-4c4f-892a-508c51c365a1|9887
7740|Royal British Legion Shirley|-1.828311|52.413474|United Kingdom|B90 3BQ|27d9b687-31e6-4c4f-892a-508c51c365a1|19311
8467|Rainton Arena|-1.481323|54.834862|United Kingdom|DH4 5PH|27d9b687-31e6-4c4f-892a-508c51c365a1|7829
8290|Nortons Digbeth|-1.890196|52.476918|United Kingdom|B5 5LS|27d9b687-31e6-4c4f-892a-508c51c365a1|21965
8477|The Witchwood|-2.098447|53.486909|United Kingdom|OL6 7SF|27d9b687-31e6-4c4f-892a-508c51c365a1|21976
8474|Assembly Room (Town Hall)|-2.096997|51.583815|United Kingdom|SN16 9BZ|27d9b687-31e6-4c4f-892a-508c51c365a1|22015
8420|Tokyo Garden Theater|139.792180|35.637687|Japan|〒135-0063|53423522-7d8c-433e-9248-bf7476dbe261|
8984|Overjam Festival|13.733061|46.182804|Slovenia|5220|080971cc-c7e3-4624-9856-c20fef38063e|22343
8291|Caddies Comedy Club|0.710407|51.539845|United Kingdom|SS1 1NT|27d9b687-31e6-4c4f-892a-508c51c365a1|21936
8999|The Chameleon|-1.152551|52.953544|United Kingdom|NG1 6HL|27d9b687-31e6-4c4f-892a-508c51c365a1|6295
7299|Les Disquaires|2.378500|48.858100|France|75011|4e9cea11-b383-442b-8363-38b95162a531|19270
8766|The Gaslight Cafe|-1.162154|50.656932|United Kingdom|PO36 9BN|27d9b687-31e6-4c4f-892a-508c51c365a1|15909
8475|The Hunter Club|0.711886|52.241528|United Kingdom|IP33 3PJ|27d9b687-31e6-4c4f-892a-508c51c365a1|4458
8843|Croxteth Country Park|-2.908443|53.441409|United Kingdom|L11 1EH|27d9b687-31e6-4c4f-892a-508c51c365a1|15483
8413|Loft 58|4.352490|50.846740|Belgium|1000|243da6e3-5729-4ce3-a541-b69fa2dd5c00|22196
8479|Mercado Municipal Teatro Faialense|-28.638932|38.528453|Portugal|9900-102|f196262b-8c66-4f1a-a043-514e3250e353|22235
8478|Estadio Olímpico La Cartuja|-6.007057|37.403782|Spain|41092|9cbbdced-21fa-4322-a91b-277d6642ed08|14331
8862|Fyne Court|-3.108662|51.081984|United Kingdom|TA5 2EQ|27d9b687-31e6-4c4f-892a-508c51c365a1|22399
8840|Lilse Bergen|4.838269|51.282369|Belgium||243da6e3-5729-4ce3-a541-b69fa2dd5c00|21248
8476|The Shinfield Players Theatre|-0.951084|51.417076|United Kingdom|RG2 9DF|27d9b687-31e6-4c4f-892a-508c51c365a1|9686
8486|Thirsty|0.126394|52.214272|United Kingdom|CB4 1EN|27d9b687-31e6-4c4f-892a-508c51c365a1|22151
8484|The Venue, Storthes Hall Park|-1.727610|53.611209|United Kingdom|HD8 0WA|27d9b687-31e6-4c4f-892a-508c51c365a1|21896
7496|229 The Venue|-0.144435|51.523490|United Kingdom|W1W 5PN|27d9b687-31e6-4c4f-892a-508c51c365a1|19458
7491|Richmond Hill Centre for the Performing Arts|-79.439331|43.877650|Canada|ON L4C 3B7|23864303-c191-4ec8-8de8-6440c4046740|
8482|Winchester City Football Club|-1.309010|51.072029|United Kingdom|SO23 7SR|27d9b687-31e6-4c4f-892a-508c51c365a1|22263
8487|Stephen Joseph Theatre|-0.404439|54.281095|United Kingdom|YO11 1JW|27d9b687-31e6-4c4f-892a-508c51c365a1|21469
8485|Bocapole - Espace Europe|-0.476009|46.924703|France|79300|4e9cea11-b383-442b-8363-38b95162a531|19829
8481|Institut finlandais|2.344444|48.847222|France|75005|4e9cea11-b383-442b-8363-38b95162a531|22260
8985|Dobbie Hall|-3.822295|56.025306|United Kingdom|FK5 4BL|27d9b687-31e6-4c4f-892a-508c51c365a1|8088
8501|Harrow Leisure Centre|-0.327441|51.592524|United Kingdom|HA3 5BD|27d9b687-31e6-4c4f-892a-508c51c365a1|22082
7632|2 Pigs|-2.075952|51.901208|United Kingdom|GL50 3HA|27d9b687-31e6-4c4f-892a-508c51c365a1|3356
7904|Motion & The Marble Factory|-2.577257|51.450250|United Kingdom|BS20PX|27d9b687-31e6-4c4f-892a-508c51c365a1|10425
8488|Athlone Stadium|18.516246|-33.961885|South Africa|7764|9cbe4b80-3fd6-48b7-9099-28f8e91b29f6|
8499|Meridian Hall|-79.378209|43.646672|Canada|M5E 1B2|32c923df-34b0-43e4-9278-8d820e537f81|
8937|Cressing Temple Barns|0.610511|51.836886|United Kingdom|CM77 8PD|27d9b687-31e6-4c4f-892a-508c51c365a1|17888
8164|The Met Studio|-2.115417|52.807127|United Kingdom||27d9b687-31e6-4c4f-892a-508c51c365a1|9181
8480|Menagerie|-2.255045|53.481895|United Kingdom|M35JL|27d9b687-31e6-4c4f-892a-508c51c365a1|22262
