id|name|id|number_of_seats|available_at_datetime
105|Duck & Waffle|105|4|2018-07-02 19:00:00+00:00
34|Hakkasan Hanway Place|34|2|2018-07-02 19:00:00+00:00
120|Trishna Restaurant|120|2|2018-07-03 19:00:00+00:00
764|Mei Ume|764|4|2018-07-03 19:30:00+00:00
764|Mei Ume|764|4|2018-07-08 19:30:00+00:00
7770|Ying Jee Club|7770|2|2019-01-13 10:00:00+00:00
6798|T'ang Court|6798|2|2019-01-17 10:00:00+00:00
2399|Café Gray Deluxe|2399|2|2019-01-16 07:30:00+00:00
544|Sexy Fish|544|4|2019-01-17 19:45:00+00:00
27|Dinner by Heston Blumenthal|27|4|2019-01-18 19:15:00+00:00
711|The Game Bird|711|4|2019-01-19 20:00:00+00:00
7770|Ying Jee Club|7770|2|2019-01-21 10:00:00+00:00
440|City Social|440|4|2019-01-23 19:15:00+00:00
2399|Café Gray Deluxe|2399|2|2019-01-23 10:00:00+00:00
120|Trishna Restaurant|120|4|2019-01-30 20:00:00+00:00
2399|Café Gray Deluxe|2399|2|2019-01-31 07:30:00+00:00
7770|Ying Jee Club|7770|2|2018-06-09 10:00:00+00:00
228|COYA Restaurant & Bar|228|2|2018-06-09 19:30:00+00:00
120|Trishna Restaurant|120|4|2018-06-09 19:00:00+00:00
310|Aqua Shard|310|4|2018-06-09 19:00:00+00:00
242|Bob Bob Ricard|242|4|2018-06-09 18:30:00+00:00
546|Hoppers|546|2|2018-06-09 19:00:00+00:00
132|Sushisamba Liverpool Street|132|4|2018-06-09 19:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-11 11:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-12 10:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-12 10:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-21 11:00:00+00:00
4518|Tosca|4518|2|2018-06-20 11:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-19 10:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-18 11:00:00+00:00
309|Hutong|309|2|2018-06-07 19:00:00+00:00
323|The Clove Club|323|2|2018-05-24 18:45:00+00:00
544|Sexy Fish|544|2|2018-04-06 18:45:00+00:00
631|Mnky Hse|631|4|2018-04-30 20:00:00+00:00
132|Sushisamba Liverpool Street|132|2|2018-05-10 19:00:00+00:00
9209|Leveldva|9209|4|2020-01-26 16:00:00+00:00
748|Core by Clare Smyth|748|2|2018-05-24 19:00:00+00:00
447|The Rosebery|447|4|2018-05-19 14:00:00+00:00
35|Hakkasan Mayfair|35|4|2018-05-19 19:30:00+00:00
7676|Pinch|7676|4|2020-01-26 16:00:00+00:00
132|Sushisamba Liverpool Street|132|4|2018-05-19 19:00:00+00:00
711|The Game Bird|711|4|2018-05-20 12:00:00+00:00
546|Hoppers|546|2|2018-05-20 19:00:00+00:00
