id|name|geoname_id|ivector_connect_geo_level_id|ivector_connect_id|ivector_connect_unique_code
f0a02110-0581-4591-bd02-b44a2caa9e72|Castleton||3||QCKV59
4415de9d-514e-4d81-a63c-cd5197e033e2|Hobart Central Business District||3||Q4R9Z2
47b75e73-57fe-4d8a-b07a-eb357602bf32|Hedong||3||DXAWD8
d2d97ae1-25fd-4141-9711-25ad6454e51a|Lierenfeld||3||EWZQU5
d895a5ea-b9dc-4c28-9ab8-93f327404e92|Skrundas Novads|7628308|||
16448676-3013-44ff-bae8-b8ad7bfc08ce|Campeche||3||ITNXTX
b639adda-c855-4762-8479-feec092181bd|Qarku i Shkodrës|3344950|||
eb4d9e68-87e2-4d2c-9f19-263171b2d23f|Avondale||3||R6MRUD
932247ab-82ce-44de-bb1e-fcd30ce322ec|Ngöbe-Buglé|7303688|||
d956e2a7-cab9-4dcb-abe5-05ad877f9383|Southwest||2||
650a63d6-d6ba-43c1-a323-cec534a6bfda|Southern Asia|7729895|||
66a56580-d71a-4011-b2de-97fc73b206d6|Whitefield||3||2AN76K
0dbb9afc-ba41-49a7-b962-ee87aa9a4b3f|Vaisigano|4034910|||
1274a291-6381-4be0-8017-403746da64e0|Tuamasaga|4034977|||
493b6f8f-5521-4f4f-bd07-2f9b22b474fd|Gobolka Nugaal|53477|||
4ca0dd46-0751-4463-bd0b-3afe19a4bfcd|Federal Capital Territory|2352776|||
a8b431bb-ea2d-4dca-9d48-916bd24eadd7|Central Mississippi||2||
fddda52b-8db7-4343-93d9-b8a1bd91eeb7|Niihau||2||
460286a7-dede-4c99-b5c2-9c5e1cfedff0|Jõgevamaa|591901|||
4ebc0bf7-ca2b-4ab9-9e0a-71cd34484240|Aglonas Novads|7628345|||
07082029-dd3b-4856-a3a2-8cc9905d32c8|Wine Country||2||
e9a788e3-ec42-4e8d-ab30-95789928dd0d|Liebertwolkwitz||3||C0T6WC
84224ed4-05ab-4023-859a-b05d4d6e195a|Southern Minnesota||2||
2eb26d5f-3176-454a-b31d-2cee8bde8cf6|Innenstadt||3||3ZZNQO
15d65ba6-1225-4d8a-9d89-9dd47945a11a|Departamento de La Paz|3585087|||
b86f615f-8457-489b-b1a5-9cbb0b8acd95|Sand Lake||3||YF5GHV
10d3c0b3-80c8-4d64-82dc-31879f60fa6b|Opština Vraneštica|863913|||
6d57850f-042b-4d8f-9684-a86b2c63a0fd|Costa de la Muerte||2||SYMWUQ
b1c84e95-bdb0-48e3-bb1d-1ef5e13d3fa8|Kopenick||3||P9ZXO4
