id|name|benefit_code|restaurant_id
259|A 15% discount on the food bill|REF238|1341
260|A 15% discount on the food bill|REF239|1342
255|A 15% discount on the food bill |REF234|1354
256|A 15% discount on the food bill |REF235|1355
261|A 15% discount on the food bill|REF240|1356
194|A 15% discount on the food bill|REF169|1365
302|Complimentary appetiser or complimentary bottle of wine|REF291|1514
112|Complimentary bar bites with purchase of two drinks |REF020|1366
46|A complimentary welcome drink, a chef meet-and-greet and a kitchen tour|REF476|1394
355|A complimentary glass of champagne and an extra cheese course (when ordering tasting menu, up to six diners)|REF367|1414
424|A complimentary glass of bubbly, cocktail, beer or wine|REF447|127
218|A complimentary welcome drink and access to late cancellations |REF195|1476
469|A complimentary glass of Prosecco (for first time visitors, up to six diners)|REF547|132
264|A complimentary glass of wine and window table|REF243|1565
380|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF392|134
104|Complimentary dessert|REF012|1628
198|A complimentary welcome drink and last-minute access|REF173|1634
463|A complimentary pisco sour (brunch)|REF538|148
445|A complimentary glass of bubbly for up to six diners|REF505|149
303|Exclusive tasting menu|REF292|233
301|Complimentary appetiser or complimentary bottle of wine|REF290|6680
440|A complimentary glass of Prosecco|REF500|162
347|A complimentary signature cocktail (lunch/dinner, up to six diners)|REF342|163
795|Book through us for priority reservations|REF668|6658
717|Enjoy a glass of Champagne on arrival|3353|8214
192|Complimentary bottle of wine |REF167|1899
396|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF408|174
232|Glass of bubbly on arrival and complimentary canapés|REF210|1940
213|A complimentary welcome drink and priority access to tables during peak hours|REF190|1941
136|A complimentary welcome drink|REF071|1969
877|Book through us for priority reservations|REF693|4611
385|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF397|183
391|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF403|184
352|A complimentary glass of bubbly (up to 12 diners)|REF360|193
37|A complimentary welcome drink and a discount on food|REF466|2096
289|A complimentary welcome drink|REF270|207
200|Complimentary dessert or appetizer |REF176|2162
338|A 20% discount on all food and beverages|REF332|2185
177|Complimentary drink or dessert |REF152|2188
360|A complimentary glass of champagne and priority al fresco reservation|REF372|215
393|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF405|216
392|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF404|218
379|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF391|222
102|Complimentary dessert|REF010|2232
272|A complimentary whiskey or Kahlua Dom Pedro |REF251|2236
17|Choose from four treatment options, and enjoy a complimentary foot massage, spa gift, and afternoon tea with a glass of NV Ruinart Rosé Champagne.|REF413|2237
387|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF399|231
423|A complimentary glass of bubbly, cocktail, beer or wine|REF446|232
394|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF406|238
273|A complimentary whiskey or Kahlua Dom Pedro |REF252|2274
271|A complimentary whiskey or Kahlua Dom Pedro |REF250|2287
442|A complimentary glass of bubbly and a chef meet-and-greet (lunch/dinner, up to six diners)|REF502|253
230|A complimentary tapa from the a la carte menu |REF208|2291
719|Enjoy a glass of Champagne on arrival|4523|8228
399|A complimentary signature cocktail (lunch/dinner, up to six diners)|REF412|278
94|A complimentary welcome drink|REF001|2419
334|A 20% discount on all food and beverages|REF328|2419
432|A complimentary glass of champagne (up to six diners)|REF490|293
795|Book through us for priority reservations|REF668|4739
450|A complimentary Hix Fix cocktail (up to eight diners)|REF512|313
167|Access to last minute reservation and welcome glass of aperitivo |REF140|314
341|Champagne greet|REF336|2493
376|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF388|340
443|A complimentary glass of bubbly for up to six diners|REF503|373
390|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF402|378
244|A complimentary welcome drink|REF223|2635
466|A complimentary glass of Prosecco and a 10% discount (up to six diners)|REF543|405
337|A 20% discount on all food and beverages|REF331|2793
199|Complimentary dessert from a la carte menu |REF174|2809
111|Complimentary dessert|REF019|2838
134|Complimentary chocolate torta |REF065|2846
216|Tour of the kitchen and signed menu by head/exec chef|REF193|2866
263|A complimentary glass of wine and window table|REF242|2924
377|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF389|441
383|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF395|442
116|A complimentary glass of Prosecco |REF024|447
115|A complimentary glass of Prosecco |REF023|3048
460|A complimentary pisco sour (lunch/dinner, up to four diners)|REF535|480
318|Original aperitif present for up to 6 guests|REF307|481
168|Complimentary bottle of wine |REF141|3215
165|A complimentary bottle of Prosecco |REF138|3233
45|A complimentary welcome drink and a dessert|REF475|3235
74|A chef meet-and-greet and a discount on food|REF560|3256
932|Special amenities on request|REF122|7701
239|A complimentary welcome drink|REF218|3401
98|A complimentary welcome drink|REF006|3560
120|Priority entry and table reservation|REF032|3652
694|Enjoy a glass of sparkling wine on arrival|4579|1589
229|A complimentary welcome drink on arrival|REF207|3703
795|Book through us for priority reservations|REF668|4740
441|A complimentary glass of bubbly for up to six diners|REF501|508
459|A complimentary pisco sour (up to six diners)|REF534|510
119|A complimentary welcome drink|REF030|3915
118|A complimentary welcome drink|REF029|3916
138|A complimentary welcome drink|REF073|3917
449|A complimentary Gosnells English mead (lunch/dinner, up to six diners)|REF510|515
207|A complimentary welcome drink|REF184|4029
287|A complimentary welcome drink and access to late cancellations|REF266|4029
234|A complimentary welcome drink and priority access |REF212|4031
203|A complimentary welcome drink and access to late cancellations |REF179|4033
249|A complimentary welcome drink and loyalty club member 10% discount |REF228|4047
132|A complimentary welcome drink|REF063|525
215|Access to chef's table/meet and greet and access to cancelled reservations|REF192|4160
225|A complimentary welcome drink and access to late cancellations|REF202|4173
214|Complimentary wine tasting and access to cancelled reservations|REF191|4200
219|Complimentary wine tasting and cellar tour|REF196|4218
228|Access to last minute reservations and cancellations and complimentary welcome drink |REF206|4222
204|Access to tables during peak dining hours and preferred access to cancelled reservations|REF181|4235
223|Arrival drink, priority access to tables, private cellar tour and access to theatre table |REF200|4237
146|Complimentary gift |REF094|4484
430|A complimentary glass of champagne|REF487|530
106|A complimentary welcome drink|REF014|4684
105|A complimentary welcome drink|REF013|4686
125|A 15% discount on the food bill|REF041|4687
373|A complimentary glass of champagne (up to six diners)|REF385|533
335|A 20% discount on all food and beverages|REF329|4693
465|A complimentary glass of Prosecco (up to six diners)|REF542|538
143|A complimentary fresh sushi nigiri|REF082|4785
299|A complimentary glass of champagne|REF289|5160
384|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF396|5213
280|A complimentary glass of Prosecco |REF259|5226
386|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF398|547
403|A complimentary cocktail (Monday-Wednesday, lunch/dinner, up to six diners)|REF417|551
350|American wine and a bite of there choice Any number lunch and dinner|REF351|5584
439|A complimentary glass of Prosecco|REF499|563
370|A complimentary glass of champagne (lunch/dinner, up to six diners)|REF382|564
397|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF409|566
11|A complimentary welcome drink and an appetiser|REF357|5987
877|Book through us for priority reservations|REF693|4356
877|Book through us for priority reservations|REF693|4488
457|A complimentary pisco sour|REF532|571
174|Priority access to reservations|REF148|6314
181|Complimentary cocktail for up to 6 people when booking lunch or dinner when booking through us.|REF156|574
183|Complimentary drink or dessert|REF158|6328
422|A complimentary glass of bubbly, cocktail, beer or wine|REF445|576
473|A complimentary signature martini (up to eight diners)|REF564|580
184|A 15% discount on the food bill|REF159|6339
185|Complimentary bottle of wine for the table|REF160|6340
187|Complimentary bottle of wine for the table|REF162|6342
412|A complimentary cocktail (up to five diners)|REF428|581
468|A complimentary glass of Prosecco (lunch/dinner) or juice (breakfast) (up to six diners)|REF545|582
369|A complimentary glass of champagne (lunch/dinner, up to six diners)|REF381|584
220|Access to tables during peak dining hours and preferred access to cancelled reservations|REF197|6406
221|Access to tables during peak dining hours|REF198|6407
210|A 15% discount on the food bill|REF187|6413
211|A 15% discount on the food bill|REF188|6414
212|A 15% discount on the food bill |REF189|6415
458|A complimentary pisco sour (up to six diners)|REF533|620
233|A complimentary welcome drink and meet and greet with the chef|REF211|6463
242|A complimentary welcome drink and meet and greet with the chef|REF221|6470
247|Complimentary digestive|REF226|6478
245|Complimentary digestive|REF224|6479
236|A complimentary welcome drink and meet and greet with the chef|REF214|6481
238|A complimentary welcome bubbly, amuse bouche, meet and greet, and priority access to tables|REF217|6497
262|A complimentary glass of wine and window table|REF241|6499
270|A Pierre Jourdan popsicle (frozen bubbles) |REF249|6500
267|A complimentary glass of bubbly|REF246|6501
268|A complimentary glass of bubbly|REF247|6502
276|A complimentary portion of tiramisu |REF255|6503
361|A complimentary glass of champagne|REF373|651
407|A complimentary cocktail (up to six diners)|REF421|652
406|Cocktails at the bar pre or post dinner max 6 people, lunch and dinner|REF420|677
288|A complimentary welcome drink and access to late cancellations |REF267|6523
409|A complimentary bottle of Prosecco (Thursday, minimum four diners)|REF425|681
291|A complimentary whiskey or Kahlua Dom Pedro |REF274|6544
290|A complimentary glass of bubbly|REF273|6547
472|A complimentary signature cocktail (lunch/dinner, up to four diners)|REF563|6577
795|Book through us for priority reservations|REF668|7429
455|A complimentary Palatino Spritz (lunch/dinner, up to six diners)|REF529|715
294|Complimentary bottle of wine |REF278|6582
73|A complimentary welcome drink and a gift to take home|REF559|7307
163|A 15% discount on the food bill|REF136|6348
697|Enjoy a glass of Champagne on arrival|4507|1627
329|Complimentary bottle of wine|REF319|717
456|A complimentary Petit Negroni (lunch/dinner, up to six diners)|REF531|740
11|A complimentary welcome drink and an appetiser|REF357|11
410|A complimentary pasta or pre-dessert course (lunch/dinner, up to five diners)|REF426|7052
700|Enjoy a glass of Champagne on arrival|4514|7501
340|A 20% discount on all food and beverages|REF334|7149
336|A 20% discount on all food and beverages|REF330|7150
339|A 20% discount on all food and beverages|REF333|7151
346|A 25% discount on food (up to six diners)|REF341|754
414|A complimentary dessert (up to six diners)|REF430|768
300|A complimentary appetiser, a chef meet-and-greet and a kitchen tour|REF2897|4569
43|A complimentary welcome drink and an appetiser|REF473|7616
101|Complimentary dessert|REF009|2013
703|Enjoy a glass of Champagne on arrival|3311|4569
76|A complimentary welcome drink and an appetiser|REF565|769
155|Complimentary cocktail or glass of wine |REF110|4857
188|Complimentary bottle of wine for the table|REF163|1722
706|Enjoy a glass of Champagne on arrival|3352|6624
277|A complimentary polpttine, prosciutto and mortadella meatballs simmered in tomato sauce |REF256|1597
13|A complimentary welcome drink and a dessert|REF362|7491
375|A complimentary glass of champagne (lunch/dinner, up to six diners)|REF387|208
388|A complimentary glass of bubbly (lunch/dinner, up to six diners)|REF400|51
398|A complimentary glass of champagne, a cheese plate and a speciality coffee from coffee menu (up to six diners)|REF410|396
402|Welcome cocktail on arrival (up to 6 guests)|REF416|92
48|A complimentary welcome drink, a chef meet-and-greet and a kitchen tour|REF478|7498
58|A complimentary welcome drink and a dessert|REF524|7505
64|A complimentary appetiser and a chef meet-and-greet|REF540|7310
85|A complimentary dessert, a chef meet-and-greet and a kitchen tour|REF576|7311
92|A chef meet-and-greet, a kitchen tour and a discount on food|REF587|1583
478|A complimentary yuzu margarita (lunch/dinner 6.30-9pm, up to six diners)|REF592|7456
522|Complimentary house cocktail at the end of the meal for up to four guests|REF616|7715
523|Spicy spherified olive upon arrival for up to six guests|REF617|7716
521|Welcome Cava for up to six guests|REF618|7717
526|Spicy Spherified Olive upon arrival during lunch and dinner every day for up to six guests|REF619|7718
525|Complimentary welcome Cava for up to six guests|REF620|7719
524|Complimentary welcome Cava upon arrival during lunch and dinner every day for up to six guests|REF621|7720
527|Complimentary welcome rosé wine for up to six guests|REF637|7721
528|Complimentary welcome rosé wine for up to six guests|REF638|7722
544|Jade Exclusive: 15% discount on all day a-la-carte dining and a complimentary bottle of champagne in birthday month with minimum spend|4117|7725
